RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication	
17289967	22587027	21657401	36229009	36478883
17346135	22658606	21722772	35772006	36234299
17326614	23113296	21967110	36123774	36127285
17332692	22957773	22010190	36129595	36131853
17264871	22709347	22010084	36087507	36173285
17294473	22443600	21929988	36075530	36109113
17347787	22698821	22030435	36095987	36010692
17341938	22844021	21969248	36060414	36132519
17371126	22861939	22000080	36210905	36235967
17340266	22900724	22045034	36318931	36405959
17351218	22749230	21946240	36136201	36233420
17342329	23221661	22068254	36153682	36151028
17372321	23238125	21943852	36290777	35993259
17369928	23332028	22027431	36194928	36183036
17355829	23157947	22020315	36194037	36243676
17322964	23307029	21998995	36010549	36276059
17166323	23286167	22021852	36074489	36197535
17263580	23130998	21955559	35504794	36256028
17333236	23020130	21997940	36031647	36451796
17328142	22943252	21988547	36148885	36331268
17328046	23254770	21996586	36279270	36152505
17282595	23140938	22156255	36192505	36187541
17320819	23263323	22103159	35045738	36347313
17411059	22709126	21991724	36301817	36392763
17382839	23273512	22002539	35754049	36359564
17315777	23210628	22001841	35987015	36113364
17100293	23222859	21990433	36098476	36361943
17110812	23306644	21426352	36014998	36496177
17312398	23242279	21980195	36112764	36040867
17059355	22823911	22013403	35356315	36130848
17326218	23223473	21989688	35729087	36170211
17295442	23242857	21953236	36022120	36217672
17336749	23255700	22028707	36002537	36118946
17315210	23201479	21968906	36134243	36029570
17327205	23214675	22005502	36116990	36104511
17326296	23370306	22007095	36106935	36104185
17297240	23239022	22043308	36238422	36326319
17245363	23201070	21995860	36286695	36112855
17314629	23218637	22148595	36167529	36093043
17354524	23147456	22058231	35815143	36279231
17397479	23198040	22009590	36093512	36053523
17386983	23233358	21977398	36290000	36486483
17297494	23310930	22073539	36232999	36431266
17341018	23266153	22130131	36135261	36109882
17331833	23231707	22045675	35991743	36313233
17097307	23258534	22002466	35883914	36469982
17308368	23328430	21998124	36030608	35280561
17335673	23353305	21989785	36011198	35725437
17120347	23252450	21803189	36046622	36083249
17353814	23275809	22082308	36109439	36044816
17316718	23272488	22081518	35993945	36121295
17334636	23283185	21814133	35946874	36372749
17355202	23294862	21798232	36331202	36116572
17364909	23364387	21043376	36307379	36067125
17286228	23270826	21587319	36161774	36347947
17357832	23192234	21635510	36063821	36132898
17147364	23167389	21983549	36050456	36274296
17337624	23190169	22125793	36248445	36113298
16978721	23165667	21899889	36088432	36177735
17334729	23161723	21162493	36211324	36105241
17318995	23075391	21702368	35982457	36029751
17302705	23160355	20995559	36070013	36195727
17319664	23288683	22071854	35943528	36200025
17319613	23317986	22152363	36074645	36044582
17404371	23304232	22150739	36152074	36053068
17346526	23385330	22107127	36115503	36497495
17368004	22728843	22060465	36107783	36330370
17297261	23183288	22143465	36284088	36129973
17348397	23215063	22089186	36217515	36103507
17259880	23267593	22160154	36001150	36154636
17158206	23241053	22127580	36161160	35988971
17366106	23221667	22066735	36094007	36117642
17401306	23195193	22118197	36058242	36186978
17334288	23278773	22032852	36036698	36345992
17330578	23282344	22105417	36094163	36421924
17314122	23193337	22054670	36018033	36217475
17325467	23179338	22080792	36254924	36080463
17362717	23249482	22093276	36290079	36044907
17419354	23179612	22106946	36089787	35977823
17230375	23165533	21946452	36088093	36122547
17155115	23199692	21698398	36116116	36185040
17302903	23200784	22044504	36247762	35983390
17288152	23262846	22088366	36216439	36228353
17084049	23241641	22039169	36045713	36479242
17332515	23303646	22128113	36071106	36181819
17313253	23362580	22102700	36021627	36201663
17406494	23223414	22093905	36267981	36115607
17355741	23200569	22062957	36127011	36061480
17258265	22971480	22156884	35927838	36092600
17198173	23200488	22107880	36097994	36367035
16952724	23234789	22095853	36061974	36125914
17385054	23228312	22123874	33365575	36086166
17148934	23233088	22067587	36214432	35998493
17225516	23297424	22154802	36253268	36212400
