RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication
17203572	23387009	23426418	35943127	36144874
17194269	23530967	23570429	35868739	35998597
17321518	22076756	23450375	35882510	35515323
16719849	23307078	23593079	35842383	35214466
17246755	23270810	23505016	35851520	36329552
17191116	23407395	23556576	35850491	36227565
16989400	23177640	22899125	35808320	36199619
17391246	23156386	23379885	35819184	36289789
16985120	23129558	23611318	35880515	36082312
17303804	23174589	23705383	35977007	36042764
16924984	23373103	23502530	36109921	36004222
17269597	23314887	23509243	35710128	36167699
16834435	23243057	22962434	35387807	35976373
16894902	23391265	23757444	35150200	36215023
17065073	23369563	23691893	35791518	35956129
17318593	23485253	23723244	35992196	35810552
17294069	23467749	23639370	35429483	35831505
17258018	23314093	23442217	35964146	35796156
17291195	22915854	23753093	35812822	35910162
17325806	23278334	23589267	35802577	36230820
17273806	23370754	23583348	35741500	35850491
17216391	23140300	23653886	35919295	35101612
17342819	23182976	22991338	35914625	36265824
17343683	23417202	23674203	35755225	35947094
17408294	23288992	23297217	35873075	35728334
17393064	23311805	23431083	35797617	35871273
17284435	23418446	22925216	35914315	35850324
17287199	23188626	22760876	35869125	36278915
17261545	23188034	23416154	35938710	36131318
17276399	22961922	23104426	35858500	34757631
17343210	23405297	23565092	35875005	35704403
17029404	23286042	23537702	35767144	35960628
17259549	23140841	23617167	35927592	35873448
17381827	23356556	23176254	35852728	35949666
17334663	23464219	23401819	35745358	35716160
17353356	22988542	23025091	35841047	36059204
17331887	22940573	23693875	35845634	36134582
17302370	23219726	23430666	35865651	36215259
17410064	23345258	23230271	35974276	36087390
17420322	22999418	23417273	35542059	36228878
17325290	23258972	23677319	35602962	36162637
17333942	23295383	23015367	35646773	36005389
17287429	23538699	23620815	33147585	35983428
16915032	23284985	23347662	35768167	35633816
17354425	22894139	23595167	35745409	36038477
17285863	22917776	23719243	35273940	35871055
17375476	23431462	23659763	35302145	35767374
17314677	23444405	23622428	35330071	35773106
17280176	23434955	22440795	35397177	36111642
17306481	23405220	23596804	33094019	36282929
17307646	22843306	23560439	35092521	35939020
17293749	23328784	23052368	35488414	35487142
17342904	23467821	22618723	35269300	35673426
17332314	23560078	23026401	35483327	35905598
17350309	23387687	22660840	35031349	36420651
17349559	23369318	23336122	35136170	36180143
17289405	23497963	23004910	35691557	36454241
17277301	23514500	23040673	35567620	36454985
17283201	23466609	23248271	33985226	36115529
17175664	23439690	22910940	35863657	36145710
17317582	23486936	22595499	36051106	36363067
17328280	23447291	22678632	36039010	35726470
17334357	23162887	22624168	36020459	36201375
17333332	23425677	23547989	35685622	36227263
17290597	22650980	23189631	35941732	35924017
17293360	23406300	22090879	36027636	34423798
17317258	23302570	23030198	35876910	35918701
17261059	23476327	22733286	35947921	36078966
17348867	23307562	23245802	35966384	36222119
17312407	22931677	23189846	35915979	35696093
17325707	23070780	22797109	34929189	35932279
17310480	23500956	22936342	35992209	36057891
17399565	23479954	23427252	36075283	36192622
17328409	23462386	23113349	35705525	35832892
17269504	23376611	22591227	35896962	36068686
17311487	23434109	23450243	36005078	35596068
17282045	23425199	23203950	35951436	35214987
17299975	23411938	23701512	35835460	35311557
17261655	23414921	23791934	36035503	36450454
