Memcached	Socket0	0.0	0.0	0.19	0.81
Memcached	Socket1	0.0	0.0	0.0	1.0
Memcached	Socket2	0.24	0.15	0.01	0.6
Memcached	Socket3	0.52	0.08	0.02	0.38
XSBench	Socket0	0.20444444444444443	0.2877777777777778	0.028888888888888888	0.47888888888888886
XSBench	Socket1	0.1411111111111111	0.028888888888888888	0.1388888888888889	0.6911111111111111
XSBench	Socket2	0.08	0.028888888888888888	0.08333333333333334	0.8077777777777778
XSBench	Socket3	0.1711111111111111	0.01888888888888889	0.11777777777777779	0.6922222222222223
Graph500	Socket0	0.18055555555555558	0.1988888888888889	0.10333333333333333	0.5172222222222222
Graph500	Socket1	0.08944444444444445	0.07111111111111111	0.18833333333333332	0.6511111111111112
Graph500	Socket2	0.10277777777777779	0.10111111111111111	0.08722222222222221	0.7088888888888889
Graph500	Socket3	0.10388888888888889	0.10722222222222222	0.10111111111111111	0.6877777777777777
Canneal	Socket0	0.0	0.16	0.0	0.84
Canneal	Socket1	0.0	0.0	0.0	1.0
Canneal	Socket2	0.0	0.0	0.0	1.0
Canneal	Socket3	0.84	0.0	0.16	0.0
