RI	RI+e	Ideal-Replication
21961447	33828492	33398482
22194163	34159865	33856426
22101865	32404743	35232493
22183460	34988731	33792688
22298333	33445677	35106257
22614370	33519804	33622249
22787042	33962107	35217889
22378894	33870164	33416730
22551097	33625550	33648688
22449813	33682156	34490643
22444165	34627573	33572278
22369202	33744202	33842642
22713582	33897902	35323743
22746684	33525231	33513647
22481443	33526636	33572999
22949444	32574711	35264114
22414584	34803260	33516658
22368212	34373864	33571940
22415800	35013551	33474786
22679408	34760688	34038532
22672436	35086882	33222756
22906232	34408803	33744635
21896887	34029763	34423680
22529164	34992882	33815440
22277490	34280092	34916774
22045155	34193084	33323402
22694144	34554680	35229105
22535653	34391833	31990520
22486635	34549618	34604997
22322908	34819959	33437681
22749277	34869582	35038161
22173465	34308707	35444238
22760886	34526309	33961750
22573200	35302033	34935852
22302675	34564736	33921739
22675927	34847795	35393043
22615112	34120958	33364373
22833875	34612208	33470965
22384715	34867369	33747072
22863633	34646169	35128863
22068293	34088704	33133000
22464645	35068019	33932778
22114754	34857561	34060351
22467699	35191590	35437167
22606160	34835340	33758442
22225941	34284005	33484986
22775800	33395694	35459496
22107049	34559325	34118560
22631945	33824029	34043642
22345070	34883290	35086488
22823124	33519579	34002803
22151239	35043097	35185337
22579301	33663459	34187099
21845646	34605117	33810135
22531692	33293015	34466915
22841052	34608123	34654153
22328580	33975919	34505020
22794755	34328646	35131640
22276328	32934377	35073726
22980903	34773283	34615035
22397419	33623685	35587188
22287450	35000022	34793706
21925699	33620497	34749273
22206721	34081060	33887024
22623758	34042634	34659426
22309009	33866206	34917993
22565228	33591686	34811050
22402030	34994253	34587487
22740544	33691916	34592249
22371890	34924883	34296140
22767021	33843043	33925284
22310990	34778338	34898788
22610561	33845414	35274239
22629574	33666372	35213921
22251901	33313090	35354565
22542302	34425469	35305423
22043420	33869062	35338198
22777569	34593960	35220097
21927386	33900948	35197647
22722031	34592356	34775060
22074845	34950700	34798052
22404675	33301474	34499830
22671336	35012203	35179407
22333757	33793647	35042569
22969464	34849750	34787618
