RI	RI+e	Ideal-Replication
22236122	33471402	33608960
22307133	34680364	35008918
22685227	34798379	33366889
22712684	34674989	33008017
22318474	34173278	33382394
22590793	34651595	34985230
22527261	33818504	33151508
22453820	35114406	34816650
22594953	34905865	33558015
22483369	35118512	34761461
22790048	34835680	35253870
22593345	34358286	33513659
22659068	35220171	35248042
22187870	35127518	34848815
22238728	34715423	33320094
22676174	34619146	35081023
22444024	33123013	33614676
22485340	33966156	33474517
22523628	34713001	33034645
22934596	34747993	34940405
22800451	34953705	33911915
22747994	34781882	33873663
22512361	33219732	35013343
22597092	35061699	33522410
22818151	34221249	35104828
22515742	35020823	33708656
22803030	34868196	34546467
22939894	33871644	33814125
22524886	35018505	35431516
22748304	34045149	34274957
22840661	34500460	34277284
22524572	34404115	33553443
22763269	34522864	33659595
22511003	34259821	34987213
22709971	35279491	33500893
22624188	34351783	33287529
22741811	34937915	32163141
22628212	34807246	34696777
22345140	34708242	32880254
22085161	35328461	33375308
22432484	34435095	33499580
22971401	34826459	35150311
22990154	35086500	33463607
22571065	35178219	33094895
23053224	34301704	34680509
22800560	34125325	33761416
22664522	34770284	35151917
22512082	34083081	33240824
22339544	35016899	34736008
22198090	34022631	33716339
22881598	35236739	35126666
22092543	35259637	33604849
22596316	34690879	35030404
21750573	33813587	32872429
22616646	34219199	35033448
22218361	34540548	33894122
22680221	35160594	34787472
22329383	35461256	35016948
22220656	35367995	33694811
22540788	35316857	34702906
22669928	34370332	33642621
22410987	35265569	35084961
22211452	35207350	33879263
22533962	35342507	34814407
22522309	34406849	35123002
22670724	35095218	34496164
22006465	35266141	34946803
22802760	34928347	34578325
22378198	33524220	34576377
22667240	34939233	34574930
22908924	34157835	34702990
22376680	35256989	34706266
22889564	34450588	34729083
22079885	35003159	35006982
22635839	33357250	34535800
22643943	35120042	35110399
22735519	34319127	34280080
22539005	34648089	34681339
22697925	35271452	35122768
22333727	35061994	35279590
22460503	35220618	35203780
22342948	34154276	35089578
22384389	34163273	34709591
22447767	34421512	34552972
22822020	35266240	35436451
